date,ann_mem_sold,daily_passes,miles,other_passes,total_ann_mem,total_miles,total_trips,trips
2014-10-01,112.0,330,44612,48,124846,23121175,13296973,31197
2014-10-02,113.0,602,60639,86,124959,23181814,13335259,38286
2014-10-03,65.0,1276,65739,107,125024,23247553,13374215,38956
2014-10-04,34.0,617,24254,26,125058,23271807,13389303,15088
2014-10-05,51.0,1470,48930,90,125109,23320737,13415550,26247
2014-10-06,94.0,710,56380,99,125203,23377117,13451201,35651
2014-10-07,59.0,593,58740,81,125262,23435857,13488132,36931
2014-10-08,92.0,667,60594,86,125354,23496451,13526002,37870
2014-10-09,53.0,709,57865,71,125407,23554316,13562429,36427
2014-10-10,57.0,905,54690,78,125464,23609006,13597119,34690
2014-10-11,23.0,528,23278,34,125487,23632284,13611924,14805
2014-10-12,42.0,2083,52781,80,125529,23685064,13638183,26259
2014-10-13,60.0,749,40275,60,125589,23725339,13663799,25616
2014-10-14,62.0,869,61691,101,125651,23787030,13700328,36529
2014-10-15,52.0,506,49319,82,125703,23836349,13732112,31784
2014-10-16,60.0,499,47808,61,125763,23884157,13761957,29845
2014-10-17,53.0,1180,64389,105,125816,23948545,13799716,37759
2014-10-18,49.0,1806,52554,63,125865,24001099,13827350,27634
2014-10-19,49.0,1000,35039,57,125914,24036139,13848367,21017
2014-10-20,54.0,514,48030,74,125968,24084168,13879295,30928
2014-10-21,40.0,539,53960,90,126008,24138128,13914005,34710
2014-10-22,29.0,110,13894,30,126037,24152022,13924407,10402
2014-10-23,25.0,74,20446,19,126062,24172468,13939293,14886
2014-10-24,24.0,722,51151,84,126086,24223619,13972315,33022
2014-10-25,31.0,2093,53881,83,126117,24277499,14000117,27802
2014-10-26,49.0,1220,41308,71,126166,24318808,14023194,23077
2014-10-27,63.0,519,49892,73,126229,24368754,14055122,31908
2014-10-28,166.0,628,56602,79,126395,24425356,14091551,36429
2014-10-29,65.0,466,48378,70,126460,24473733,14124495,32944
2014-10-30,27.0,557,52162,61,126487,24525895,14159153,34658
2014-10-31,16.0,653,46834,75,126503,24572729,14189940,30787
2014-11-01,11.0,98,8703,10,126514,24581432,14196679,6739
2014-11-02,13.0,480,23106,44,126527,24604538,14212409,15730
2014-11-03,30.0,568,45368,51,126557,24649906,14241999,29590
2014-11-04,22.0,665,54306,80,126579,24704213,14276611,34612
2014-11-05,32.0,513,52464,49,126611,24756677,14310375,33764
2014-11-06,16.0,98,18743,12,126627,24775420,14324257,13882
2014-11-07,20.0,416,40163,45,126647,24815583,14352310,28053
2014-11-08,12.0,878,31589,40,126659,24847172,14371682,19372
2014-11-09,16.0,952,34251,44,126675,24881423,14391907,20225
2014-11-10,25.0,607,46768,46,126700,24928191,14422523,30616
2014-11-11,19.0,599,49461,41,126719,24977651,14454835,32312
2014-11-12,28.0,325,45234,36,126747,25022886,14485665,30830
2014-11-13,23.0,252,32395,21,126770,25055281,14508463,22798
2014-11-14,13.0,242,33240,28,126783,25088520,14531915,23452
2014-11-15,14.0,522,23774,16,126797,25112295,14547318,15403
2014-11-16,14.0,319,20645,20,126811,25132940,14561862,14544
2014-11-17,12.0,25,11294,8,126823,25144234,14570806,8944
2014-11-18,11.0,78,23704,26,126834,25167938,14589242,18436
2014-11-19,13.0,102,24052,17,126847,25191989,14607453,18211
2014-11-20,11.0,160,30878,20,126858,25222867,14630135,22682
2014-11-21,7.0,131,25533,24,126865,25248400,14649717,19582
2014-11-22,10.0,345,20211,9,126875,25268611,14663555,13838
2014-11-23,11.0,628,27503,26,126886,25296114,14680567,17012
2014-11-24,8.0,374,37873,45,126894,25333986,14705574,25007
2014-11-25,10.0,365,39495,27,126904,25373481,14733463,27889
2014-11-26,4.0,14,4997,1,126908,25378478,14737527,4064
2014-11-27,3.0,74,5954,10,126911,25384432,14741858,4331
