Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch),Miles traveled today (midnight to 11:59 pm),Miles traveled to date,Total Annual Memberships Sold,24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
4/1/2015,21566,16137578,31708,27277986,128629,325,34
4/2/2015,26346,16163924,43134,27321120,128698,864,65
4/3/2015,15978,16179902,23643,27344763,128735,365,27
4/4/2015,15538,16195440,27764,27372527,128783,1029,46
4/5/2015,14962,16210402,29709,27402236,128846,1208,52
4/6/2015,25502,16235904,43529,27445765,128940,1065,73
4/7/2015,17640,16253544,24209,27469974,129003,270,33
4/8/2015,19223,16272767,26004,27495978,129047,276,30
4/9/2015,17723,16290490,23891,27519869,129081,163,20
4/10/2015,17648,16308138,25628,27545497,129124,289,37
4/11/2015,20451,16328589,39786,27585283,129193,1600,59
4/12/2015,21851,16350440,46764,27632047,129273,1951,87
4/13/2015,26980,16377420,43753,27675800,129377,603,73
4/14/2015,24452,16401872,36555,27712355,129451,334,53
4/15/2015,30184,16432056,49727,27762082,129541,733,84
4/16/2015,29273,16461329,45915,27807997,129639,617,57
4/17/2015,26164,16487493,42203,27850200,129717,671,81
4/18/2015,31024,16518517,71371,27921571,129802,3685,138
4/19/2015,23444,16541961,46416,27967987,129901,1851,103
4/20/2015,12080,16554041,16377,27984364,129974,96,23
4/21/2015,27057,16581098,43508,28027872,130039,608,88
4/22/2015,23893,16604991,35999,28063871,130109,374,51
4/23/2015,23886,16628877,34259,28098130,130168,311,61
4/24/2015,22605,16651482,32678,28130808,130211,421,37
4/25/2015,22963,16674445,46054,28176862,130293,2095,85
4/26/2015,23608,16698053,48664,28225526,130378,1999,128
4/27/2015,27657,16725710,43197,28268723,130486,609,99
4/28/2015,32481,16758191,54129,28322852,130575,893,98
4/29/2015,34427,16792618,59166,28382018,130671,1087,150
4/30/2015,31756,16824374,51077,28433095,130745,785,102
5/1/2015,30345,16854719,48736,28481831,130840,917,106
5/2/2015,28295,16883014,60188,28542019,130899,2799,138
5/3/2015,30446,16913460,69728,28611747,130992,3361,154
5/4/2015,35115,16948575,63531,28675278,131145,1397,191
5/5/2015,35990,16984565,60088,28735366,131284,987,145
5/6/2015,32788,17017353,50987,28786353,131366,712,90
5/7/2015,37762,17055115,64189,28850542,131496,1271,133
5/8/2015,37206,17092321,64255,28914797,131607,1596,170
5/9/2015,26813,17119134,51941,28966738,131677,2077,158
5/10/2015,28962,17148096,62364,29029102,131752,2444,189
5/11/2015,35068,17183164,57873,29086975,131884,1084,198
5/12/2015,38186,17221350,62939,29149914,131979,1103,179
5/13/2015,36162,17257512,57091,29207005,132074,891,119
5/14/2015,44429,17301941,80286,29287291,132158,4927,82
5/15/2015,37687,17339628,64660,29351951,132225,1665,181
5/16/2015,26142,17365770,50862,29402813,132293,2392,155
5/17/2015,34006,17399776,73458,29476271,132357,3499,189
5/18/2015,33527,17433303,53794,29530065,132470,1031,129
5/19/2015,36272,17469575,58026,29588091,132561,943,177
5/20/2015,36020,17505595,57290,29645381,132643,923,100
5/21/2015,33076,17538671,50277,29695658,132711,746,105
5/22/2015,33898,17572569,58351,29754009,132765,1356,150
5/23/2015,25985,17598554,56999,29811008,132798,2967,166
5/24/2015,27400,17625954,66211,29877219,132839,3689,156
5/25/2015,30636,17656590,69099,29946318,132914,3392,221
5/26/2015,38282,17694872,64504,30010822,133006,1202,188
5/27/2015,35952,17730824,57511,30068333,133080,879,124
5/28/2015,38291,17769115,61662,30129995,133153,1014,144
5/29/2015,40179,17809294,69343,30199338,133217,1648,134
5/30/2015,33503,17842797,69481,30268819,133265,3082,192
5/31/2015,21196,17863993,40580,30309399,133339,1606,105
6/1/2015,16079,17880072,20369,30329768,133401,162,41
6/2/2015,12706,17892778,15730,30345498,133453,75,35
6/3/2015,36345,17929123,58749,30404247,133535,1129,143
6/4/2015,34390,17963513,52792,30457039,133598,806,147
6/5/2015,32861,17996374,51079,30508118,133641,959,117
6/6/2015,27910,18024284,55613,30563731,133687,2457,144
6/7/2015,32881,18057165,71994,30635725,133752,3295,169
6/8/2015,35453,18092618,58140,30693865,133832,1045,168
6/9/2015,37322,18129940,59489,30753354,133896,889,140
6/10/2015,41386,18171326,69035,30822389,133964,1223,140
6/11/2015,39083,18210409,62993,30885382,134041,1060,137
6/12/2015,36801,18247210,60933,30946315,134109,1374,131
6/13/2015,31772,18278982,67103,31013418,134156,3045,168
6/14/2015,29829,18308811,62977,31076395,134220,2633,192
6/15/2015,26533,18335344,38705,31115100,134279,575,122
6/16/2015,33832,18369176,52864,31167964,134345,798,151
6/17/2015,40009,18409185,65208,31233172,134414,1145,160
6/18/2015,37326,18446511,56562,31289734,134468,792,144
6/19/2015,39350,18485861,66914,31356648,134516,1543,143
6/20/2015,24937,18510798,45872,31402520,134548,1747,125
6/21/2015,27486,18538284,55513,31458033,134602,2295,140
6/22/2015,39758,18578042,66659,31524692,134676,1282,202
6/23/2015,34182,18612224,52805,31577497,134743,824,147
6/24/2015,43484,18655708,73125,31650622,134818,1270,189
6/25/2015,41618,18697326,68362,31718984,134859,1166,135
6/26/2015,40599,18737925,68529,31787513,134908,1579,182
6/27/2015,16271,18754196,28233,31815746,134935,1143,65
6/28/2015,21588,18775784,42273,31858019,134975,1610,101
6/29/2015,39785,18815569,69309,31927328,135065,1452,196
6/30/2015,39839,18855408,65564,31992892,135136,1220,156
