Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Memberships Sold,24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
7/1/2015,39019,18894427,64472,32057364,135204,1251,142
7/2/2015,36962,18931389,62434,32119798,135247,1411,175
7/3/2015,27821,18959210,58884,32178682,135294,2818,173
7/4/2015,22347,18981557,53110,32231792,135326,3036,130
7/5/2015,26708,19008265,61185,32292977,135384,2829,180
7/6/2015,36174,19044439,62539,32355516,135470,1287,224
7/7/2015,37930,19082369,63163,32418679,135548,1071,200
7/8/2015,35900,19118269,57751,32476430,135594,823,139
7/9/2015,32734,19151003,52402,32528832,135646,900,122
7/10/2015,39687,19190690,71490,32600322,135704,1724,143
7/11/2015,32620,19223310,69705,32670027,135755,3190,178
7/12/2015,31853,19255163,68158,32738185,135809,2875,166
7/13/2015,39586,19294749,67998,32806250,135890,1273,238
7/14/2015,36671,19331420,58900,32865150,135966,754,145
7/15/2015,35855,19367275,57781,32922931,136023,873,111
7/16/2015,43302,19410577,76535,32999466,136092,1676,197
7/17/2015,40782,19451359,73884,33073350,136144,1815,161
7/18/2015,29619,19480978,61739,33135089,136188,2800,165
7/19/2015,29332,19510310,61512,33196601,136244,2709,169
7/20/2015,35960,19546270,59568,33256169,136315,1052,205
7/21/2015,39557,19585827,66191,33322360,136379,1234,170
7/22/2015,43602,19629429,75758,33398118,136460,1363,179
7/23/2015,43319,19672748,75512,33473630,136528,1404,166
7/24/2015,41201,19713949,72841,33546471,136594,1778,174
7/25/2015,32458,19746407,73133,33619604,136655,3535,148
7/26/2015,31325,19777732,66278,33685882,136721,2889,171
7/27/2015,39602,19817334,67841,33753723,136818,1232,230
7/28/2015,41321,19858655,69131,33822854,136901,1245,181
7/29/2015,40267,19898922,66299,33889153,136979,1085,153
7/30/2015,31878,19930800,50297,33939450,137044,785,108
7/31/2015,39360,19970160,69897,34009347,137109,1723,177
8/1/2015,36088,20006248,84287,34093634,137654,4286,234
8/2/2015,32482,20038730,72633,34166267,137738,3189,204
8/3/2015,39912,20078642,69232,34235499,137833,1400,230
8/4/2015,41672,20120314,71146,34306645,137913,1393,168
8/5/2015,42149,20162463,71111,34377756,138024,1357,160
8/6/2015,43455,20205918,74669,34452425,138142,1498,170
8/7/2015,41967,20247885,74844,34527269,138224,1862,154
8/8/2015,39866,20287751,95931,34623200,138366,5101,205
8/9/2015,33654,20321405,78144,34701344,138455,3425,177
8/10/2015,40718,20362123,74754,34776575,138644,1518,228
8/11/2015,25692,20387815,42534,34819109,138756,622,107
8/12/2015,44145,20431960,80366,34899475,138895,1458,196
8/13/2015,43174,20475134,78784,34978259,139042,1479,155
8/14/2015,40903,20516037,72319,35050578,139172,1778,195
8/15/2015,38777,20554814,92390,35142968,139377,4773,226
8/16/2015,30337,20585151,65629,35208597,139514,2720,179
8/17/2015,37446,20622597,64425,35273022,139712,1285,180
8/18/2015,39913,20662510,67805,35340827,139882,1163,158
8/19/2015,40721,20703231,69834,35410661,140076,1266,151
8/20/2015,39275,20742506,66772,35477433,140222,1275,140
8/21/2015,38033,20780539,66202,35543635,140392,1572,160
8/22/2015,34269,20814808,77058,35620693,140516,3632,190
8/23/2015,33059,20847867,71456,35692149,140725,2960,178
8/24/2015,38676,20886543,68193,35760342,140971,1253,182
8/25/2015,41052,20927595,71734,35832076,141218,1224,178
8/26/2015,42373,20969968,73578,35905654,141423,1247,159
8/27/2015,42801,21012769,74735,35980389,141674,1333,161
8/28/2015,41418,21054187,74240,36054629,141943,1774,160
8/29/2015,34053,21088240,74840,36129469,142169,3470,197
8/30/2015,32581,21120821,68990,36198459,142496,2902,189
8/31/2015,40043,21160864,67836,36266295,143057,1197,194
9/1/2015,43069,21203933,72939,36339234,143239,1199,185
9/2/2015,43004,21246937,72983,36412217,143424,1244,162
9/3/2015,42462,21289399,71265,36483482,143581,1251,193
9/4/2015,39572,21328971,70681,36554163,143722,1843,211
9/5/2015,33669,21362640,77956,36632119,143854,4271,228
9/6/2015,32875,21395515,82123,36714242,143962,4571,200
9/7/2015,33280,21428795,75257,36789499,144160,3501,155
9/8/2015,42344,21471139,71591,36861090,144402,1138,208
9/9/2015,43528,21514667,71173,36932263,144617,1041,175
9/10/2015,22023,21536690,31862,36964125,144769,416,77
9/11/2015,47206,21583896,86598,37050723,144950,1929,207
9/12/2015,33282,21617178,68420,37119143,145145,2620,192
9/13/2015,34308,21651486,72749,37191892,145406,2814,215
9/14/2015,44367,21696523,83150,37276407,145619,1751,240
9/15/2015,48402,21744925,88238,37364645,145951,1533,227
9/16/2015,50780,21795705,91197,37455842,146279,1424,199
9/17/2015,50275,21845980,91433,37547275,146611,1508,206
9/18/2015,49946,21895926,95186,37642461,146874,2090,226
9/19/2015,42653,21938579,98568,37741029,147199,4256,184
9/20/2015,40099,21978678,90483,37831512,147602,3598,234
9/21/2015,47178,22025856,85002,37916514,147960,1290,249
9/22/2015,48664,22074520,84251,38000765,148254,1080,191
9/23/2015,48175,22122695,88117,38088882,148522,1568,218
9/24/2015,52706,22175401,96872,38185754,148809,1766,204
9/25/2015,51367,22226768,95467,38281221,149055,2059,193
9/26/2015,42559,22269327,93740,38374961,149309,3769,219
9/27/2015,38278,22307605,82841,38457802,149566,2940,151
9/28/2015,48009,22355614,90180,38547982,149886,1505,223
9/29/2015,48728,22404342,87702,38635684,150277,1284,173
9/30/2015,39450,22443792,65081,38700765,150811,744,77
